"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"30090","0","Howe at Magellan Way - Out","","39.033067","-84.516623","Transit Authority of Northern Kentucky","","0",""
"880","0","Holman at W 14th - In","","39.074713","-84.512969","Transit Authority of Northern Kentucky","","0",""
"881","0","Holman at W 14th - Out","","39.074728","-84.513132","Transit Authority of Northern Kentucky","","0",""
"882","0","Holman at W 13th - In","","39.075644","-84.513221","Transit Authority of Northern Kentucky","","0",""
"640","0","N Ft Thomas at Hartweg - Out","","39.091772","-84.447356","Transit Authority of Northern Kentucky","","0",""
"883","0","Holman at W 13th - Out","","39.075783","-84.513416","Transit Authority of Northern Kentucky","","0",""
"641","0","Cliffview at N Ft Thomas - In","","39.092291","-84.447213","Transit Authority of Northern Kentucky","","0",""
"30097","0","US 25 at Richwood - Out","","38.9289","-84.6273","Transit Authority of Northern Kentucky","","0",""
"884","0","W 12th at Holman - In","","39.077241","-84.513623","Transit Authority of Northern Kentucky","","0",""
"642","0","E Southgate at N Ft Thomas - In","","39.093088","-84.447594","Transit Authority of Northern Kentucky","","0",""
"885","0","Holman at W 12th - Out","","39.076985","-84.513683","Transit Authority of Northern Kentucky","","0",""
"643","0","N Ft Thomas at W Southgate - Out","","39.093125","-84.447807","Transit Authority of Northern Kentucky","","0",""
"644","0","N Ft Thomas at Bellaire - In","","39.093751","-84.447966","Transit Authority of Northern Kentucky","","0",""
"30099","0","Philadelphia at 3rd - Out","","39.0877","-84.5192","Transit Authority of Northern Kentucky","","0",""
"645","0","N Ft Thomas at Holly - Out","","39.09376","-84.448613","Transit Authority of Northern Kentucky","","0",""
"888","0","Holman at Berry - Out","","39.078742","-84.514203","Transit Authority of Northern Kentucky","","0",""
"646","0","N Ft Thomas at Earnscliffe - In","","39.094807","-84.450917","Transit Authority of Northern Kentucky","","0",""
"10264","0","Taylor Mill at Clubhouse - Out","","38.971866","-84.502661","Transit Authority of Northern Kentucky","","0",""
"647","0","N Ft Thomas at Tower Hill - Out","","39.094512","-84.450856","Transit Authority of Northern Kentucky","","0",""
"10263","0","Pine at Clubhouse - In","","38.971811","-84.502488","Transit Authority of Northern Kentucky","","0",""
